cell_id,source_version,source_php_support,fixture_php,env,updater_lane,tier,target_build,pre_assert,post_assert,verdict,evidence_path,cleanup_verified,notes
L1-20,6.8,,7.4,single,core-updater,T2,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-21,6.9,,7.4,single,core-updater,T1,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-22,7.0.2,,7.4,single,core-updater,T1,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-23,4.9,,7.4,multisite,core-updater,T1,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-24,5.0,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-25,5.1,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-26,5.2,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-27,5.3,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-28,5.4,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-29,5.5,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-30,5.6,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-31,5.7,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-32,5.8,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-33,5.9,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-34,6.0,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-35,6.1,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-36,6.2,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-37,6.3,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-38,6.4,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-39,6.5,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-40,6.6,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-41,6.7,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-42,6.8,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-43,6.9,,7.4,multisite,core-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-44,7.0.2,,7.4,multisite,core-updater,T1,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-45,4.9,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-46,5.0,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-47,5.1,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-48,5.2,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-49,5.3,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-50,5.4,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-51,5.5,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-52,5.6,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-53,5.7,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-54,5.8,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-55,5.9,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-56,6.0,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-57,6.1,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-58,6.2,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-59,6.3,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-60,6.4,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-61,6.5,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-62,6.6,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-63,6.7,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-64,6.8,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-65,6.9,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-66,7.0.2,,7.4,single,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-67,4.9,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-68,5.0,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-69,5.1,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-70,5.2,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-71,5.3,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-72,5.4,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-73,5.5,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-74,5.6,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-75,5.7,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-76,5.8,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-77,5.9,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-78,6.0,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-79,6.1,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-80,6.2,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-81,6.3,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-82,6.4,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-83,6.5,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-84,6.6,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-85,6.7,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-86,6.8,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-87,6.9,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-88,7.0.2,,7.4,multisite,wp-cli-updater,T3,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
