chain_id,cell,expected,observed,verdict,command,output_path,fixture_state_hash,cleanup_verified
C-04,dependency-network/scope-network/viewer-site-admin,"A site admin without network activation capability receives no network activation affordance or REST plugin access.","Button omitted and REST GET returned 403 rest_cannot_view_plugin.",REFUTED,bash chains/C-04/run.sh,chains/C-04/evidence-beta4.txt,f8e3d6ac60813926de09e5a506fd7767be6739095fc7a440ca92fed609df9143,yes
C-04,dependency-network/scope-site/viewer-super-admin,"A network-active dependency satisfies runtime checks and permits the dependent's site activation affordance.","Runtime effective=true and unmet=false; action button is disabled; REST GET reports only the dependent's inactive status.",CONFIRMED,bash chains/C-04/run.sh,chains/C-04/evidence-beta4.txt,f8e3d6ac60813926de09e5a506fd7767be6739095fc7a440ca92fed609df9143,yes
C-04,dependency-network/scope-site/viewer-site-admin,"A site admin without activation capability receives no activation affordance or REST plugin access.","Button omitted and REST GET returned 403 rest_cannot_view_plugin.",REFUTED,bash chains/C-04/run.sh,chains/C-04/evidence-beta4.txt,f8e3d6ac60813926de09e5a506fd7767be6739095fc7a440ca92fed609df9143,yes
C-04,dependency-site/scope-network/viewer-super-admin,"A site-local dependency must not be assumed to satisfy a network-wide dependent without an activation attempt.","Runtime and action-button checks treat the site-local dependency as satisfied; network-wide dependent activation was not executed.",INCONCLUSIVE,bash chains/C-04/run.sh,chains/C-04/evidence-beta4.txt,f8e3d6ac60813926de09e5a506fd7767be6739095fc7a440ca92fed609df9143,yes
C-04,dependency-site/scope-network/viewer-site-admin,"A site admin without network capability receives no network activation affordance or REST plugin access.","Button omitted and REST GET returned 403 rest_cannot_view_plugin.",REFUTED,bash chains/C-04/run.sh,chains/C-04/evidence-beta4.txt,f8e3d6ac60813926de09e5a506fd7767be6739095fc7a440ca92fed609df9143,yes
C-04,dependency-site/scope-site/viewer-super-admin,"A site-local dependency satisfies the site-local dependent affordance.","Runtime effective=true and unmet=false; action button is an enabled Activate link.",REFUTED,bash chains/C-04/run.sh,chains/C-04/evidence-beta4.txt,f8e3d6ac60813926de09e5a506fd7767be6739095fc7a440ca92fed609df9143,yes
C-04,dependency-site/scope-site/viewer-site-admin,"A site admin without activation capability receives no activation affordance or REST plugin access.","Button omitted and REST GET returned 403 rest_cannot_view_plugin.",REFUTED,bash chains/C-04/run.sh,chains/C-04/evidence-beta4.txt,f8e3d6ac60813926de09e5a506fd7767be6739095fc7a440ca92fed609df9143,yes
C-04,dependency-inactive/scope-network/viewer-super-admin,"An inactive dependency is unmet and disables network activation.","Runtime unmet=true and action button disabled.",REFUTED,bash chains/C-04/run.sh,chains/C-04/evidence-beta4.txt,f8e3d6ac60813926de09e5a506fd7767be6739095fc7a440ca92fed609df9143,yes
C-04,dependency-inactive/scope-network/viewer-site-admin,"A site admin without network capability receives no network activation affordance or REST plugin access.","Button omitted and REST GET returned 403 rest_cannot_view_plugin.",REFUTED,bash chains/C-04/run.sh,chains/C-04/evidence-beta4.txt,f8e3d6ac60813926de09e5a506fd7767be6739095fc7a440ca92fed609df9143,yes
C-04,dependency-inactive/scope-site/viewer-super-admin,"An inactive dependency is unmet and disables site activation.","Runtime unmet=true and action button disabled.",REFUTED,bash chains/C-04/run.sh,chains/C-04/evidence-beta4.txt,f8e3d6ac60813926de09e5a506fd7767be6739095fc7a440ca92fed609df9143,yes
C-04,dependency-inactive/scope-site/viewer-site-admin,"A site admin without activation capability receives no activation affordance or REST plugin access.","Button omitted and REST GET returned 403 rest_cannot_view_plugin.",REFUTED,bash chains/C-04/run.sh,chains/C-04/evidence-beta4.txt,f8e3d6ac60813926de09e5a506fd7767be6739095fc7a440ca92fed609df9143,yes
